ì˙ït,è§ïiID,å⁄ãqID,éxìXID,îÃîÑíPâø,îÃîÑêîó 
2016/7/13,P0016,C0002,B005,25800,6
2016/7/14,P0007,C0004,B003,56200,17
2016/7/15,P0003,C0021,B005,32200,3
2016/7/15,P0023,C0029,B002,24500,9
2016/7/16,P0033,C0021,B003,8900,2
2016/7/18,P0015,C0030,B002,800,18
2016/7/23,P0008,C0026,B004,29000,11
2016/7/27,P0017,C0003,B002,50200,9
2016/7/29,P0003,C0010,B003,32200,15
2016/7/30,P0029,C0009,B003,15000,14
2016/7/30,P0015,C0028,B003,700,12
2016/8/7,P0001,C0007,B005,7900,17
2016/8/11,P0004,C0024,B004,17500,4
2016/8/12,P0013,C0030,B005,45100,14
2016/8/13,P0002,C0021,B001,40100,19
2016/8/14,P0015,C0011,B003,800,13
2016/8/15,P0017,C0009,B001,45000,7
2016/8/15,P0029,C0028,B004,16500,15
2016/8/15,P0015,C0028,B005,600,20
2016/8/16,P0005,C0027,B003,900,15
2016/8/17,P0024,C0024,B002,33400,12
2016/8/17,P0022,C0003,B005,27500,13
2016/8/18,P0016,C0019,B005,22600,20
2016/8/19,P0003,C0003,B002,22300,17
2016/8/21,P0011,C0001,B003,50200,13
2016/8/24,P0026,C0021,B003,58200,15
2016/8/24,P0026,C0030,B001,54400,3
2016/8/24,P0026,C0025,B002,50600,19
2016/8/24,P0026,C0021,B005,54400,14
2016/8/24,P0026,C0019,B004,60500,12
2016/8/24,P0026,C0015,B005,52500,2
2016/8/24,P0026,C0018,B005,61500,10
2016/8/25,P0005,C0016,B003,900,13
2016/8/25,P0032,C0017,B003,17100,6
2016/8/28,P0005,C0020,B005,800,1
2016/8/30,P0006,C0018,B001,31300,17
2016/9/1,P0014,C0009,B004,20200,13
2016/9/2,P0031,C0030,B002,21600,18
2016/9/3,P0024,C0029,B003,34800,18
2016/9/5,P0005,C0014,B003,700,17
2016/9/7,P0015,C0025,B003,600,5
2016/9/8,P0022,C0024,B005,36500,8
2016/9/8,P0003,C0003,B003,22800,17
2016/9/8,P0008,C0010,B002,33700,10
2016/9/10,P0018,C0009,B003,55700,5
2016/9/10,P0018,C0029,B004,45800,19
2016/9/10,P0018,C0004,B003,58700,11
2016/9/11,P0004,C0018,B003,19700,15
2016/9/11,P0029,C0007,B003,14700,13
2016/9/12,P0001,C0020,B003,6400,12
2016/9/12,P0005,C0003,B005,800,18
2016/9/12,P0023,C0011,B001,25800,19
2016/9/13,P0027,C0028,B003,36000,5
2016/9/16,P0017,C0027,B001,55400,9
2016/9/19,P0003,C0001,B003,29000,5
2016/9/20,P0008,C0030,B004,24100,10
2016/9/21,P0003,C0023,B001,29500,7
2016/9/23,P0011,C0025,B003,43500,1
2016/9/25,P0034,C0025,B005,46500,8
2016/9/25,P0034,C0025,B003,49700,19
2016/9/25,P0034,C0013,B005,48900,2
2016/9/25,P0034,C0008,B005,43300,17
2016/9/25,P0034,C0030,B003,45300,8
2016/9/25,P0034,C0013,B003,44100,3
2016/9/25,P0034,C0027,B002,36900,19
2016/9/25,P0034,C0023,B001,46500,1
2016/9/25,P0034,C0009,B003,46900,10
2016/9/25,P0034,C0017,B003,44500,9
2016/9/26,P0014,C0016,B003,20700,11
2016/9/28,P0013,C0018,B002,38300,20
2016/9/28,P0003,C0018,B005,31000,17
2016/10/1,P0009,C0013,B005,23600,16
2016/10/1,P0009,C0019,B002,18800,12
2016/10/1,P0009,C0023,B005,20400,17
2016/10/1,P0009,C0003,B003,22500,16
2016/10/1,P0009,C0004,B003,24600,4
2016/10/1,P0009,C0008,B003,19800,16
2016/10/1,P0009,C0028,B003,20200,15
2016/10/1,P0029,C0004,B004,16700,8
2016/10/1,P0029,C0008,B002,18800,9
2016/10/2,P0026,C0010,B004,57200,1
2016/10/4,P0010,C0014,B003,7300,14
2016/10/5,P0009,C0008,B003,20900,4
2016/10/6,P0022,C0020,B003,28600,12
2016/10/7,P0014,C0027,B001,17800,13
2016/10/7,P0002,C0009,B002,45800,16
2016/10/9,P0029,C0015,B005,19400,5
2016/10/10,P0013,C0028,B002,48900,6
2016/10/10,P0007,C0003,B004,47700,2
2016/10/10,P0005,C0018,B002,900,17
2016/10/14,P0029,C0002,B004,16500,19
2016/10/14,P0034,C0003,B002,41300,19
2016/10/24,P0015,C0011,B005,700,5
2016/10/25,P0009,C0007,B004,22800,10
2016/10/27,P0013,C0024,B002,47800,8
2016/10/27,P0006,C0012,B002,29700,9
2016/10/28,P0014,C0008,B003,18600,8
2016/10/29,P0026,C0001,B004,57200,12
2016/10/31,P0004,C0022,B005,21300,13
2016/10/31,P0032,C0015,B005,15100,4
2016/10/31,P0024,C0019,B001,37200,16
2016/10/31,P0026,C0012,B003,57200,20
2016/11/1,P0004,C0022,B002,19100,14
2016/11/1,P0029,C0025,B002,14100,19
2016/11/1,P0014,C0028,B005,20200,2
2016/11/2,P0014,C0001,B002,21200,18
2016/11/4,P0001,C0001,B005,6700,4
2016/11/6,P0003,C0012,B004,24300,10
2016/11/7,P0013,C0024,B002,41700,13
2016/11/7,P0010,C0009,B002,7200,13
2016/11/7,P0014,C0018,B002,21200,13
2016/11/8,P0005,C0005,B002,900,18
2016/11/9,P0029,C0002,B003,18900,16
2016/11/14,P0022,C0011,B003,36200,13
2016/11/17,P0032,C0021,B004,15400,15
2016/11/17,P0013,C0018,B003,36800,8
2016/11/23,P0015,C0018,B002,600,4
2016/11/24,P0027,C0005,B004,40400,16
2016/11/25,P0010,C0002,B003,6900,14
2016/11/25,P0033,C0006,B004,8900,14
2016/11/26,P0026,C0010,B004,47800,10
2016/11/26,P0001,C0026,B003,7500,9
2016/11/26,P0005,C0018,B002,700,8
2016/11/27,P0005,C0005,B004,1000,17
2016/11/28,P0026,C0011,B005,46800,18
2016/11/28,P0003,C0009,B003,31700,4
2016/11/30,P0024,C0025,B002,43200,15
2016/12/2,P0032,C0022,B002,20800,5
2016/12/6,P0009,C0016,B003,20900,15
2016/12/7,P0018,C0002,B005,54200,19
2016/12/7,P0010,C0015,B001,6700,14
2016/12/8,P0009,C0029,B001,23000,13
2016/12/9,P0028,C0030,B002,16700,14
2016/12/9,P0028,C0021,B005,18500,1
2016/12/9,P0028,C0021,B005,16200,2
2016/12/9,P0028,C0009,B003,22200,3
2016/12/9,P0006,C0006,B003,40800,7
2016/12/9,P0029,C0019,B002,15000,14
2016/12/11,P0006,C0002,B003,30000,15
2016/12/12,P0018,C0022,B003,58200,18
2016/12/12,P0033,C0028,B004,9200,3
2016/12/14,P0022,C0006,B003,26900,19
2016/12/15,P0013,C0002,B003,38700,15
2016/12/17,P0034,C0023,B002,36500,13
2016/12/18,P0029,C0013,B003,15200,5
2016/12/19,P0024,C0027,B002,32700,16
2016/12/21,P0004,C0002,B001,20200,16
2016/12/22,P0005,C0016,B003,800,19
2016/12/23,P0017,C0028,B003,48500,10
2016/12/25,P0001,C0011,B004,7000,13
2016/12/25,P0015,C0026,B003,700,20
2016/12/26,P0033,C0001,B003,8300,19
2016/12/31,P0032,C0019,B001,20000,17
2017/1/1,P0027,C0023,B004,42400,19
2017/1/2,P0013,C0025,B005,44000,9
2017/1/4,P0033,C0009,B003,9800,15
2017/1/5,P0005,C0003,B002,800,15
2017/1/6,P0014,C0018,B005,21000,7
2017/1/6,P0005,C0018,B001,800,9
2017/1/7,P0005,C0027,B004,800,17
2017/1/7,P0033,C0004,B004,7700,20
2017/1/10,P0002,C0007,B002,43100,9
2017/1/11,P0032,C0003,B003,18900,11
2017/1/13,P0002,C0009,B002,42800,15
2017/1/13,P0009,C0010,B004,19000,16
2017/1/17,P0023,C0028,B001,23900,5
2017/1/17,P0033,C0030,B002,8300,13
2017/1/18,P0006,C0012,B002,29300,15
2017/1/18,P0014,C0027,B005,16900,8
2017/1/19,P0014,C0016,B002,19200,4
2017/1/20,P0033,C0003,B005,9100,19
2017/1/23,P0005,C0019,B005,900,10
2017/1/27,P0023,C0009,B001,25600,5
2017/1/27,P0002,C0007,B004,38300,16
2017/1/28,P0007,C0020,B003,60600,19
2017/1/29,P0018,C0030,B003,55700,17
2017/1/30,P0022,C0027,B003,34500,6
2017/1/31,P0023,C0001,B003,19100,19
2017/2/1,P0022,C0011,B003,32500,2
2017/2/4,P0001,C0017,B003,7300,3
2017/2/4,P0026,C0023,B003,47300,19
2017/2/5,P0009,C0001,B004,24200,5
2017/2/5,P0024,C0029,B003,42500,13
2017/2/6,P0015,C0012,B002,700,6
2017/2/7,P0006,C0028,B002,41100,3
2017/2/7,P0017,C0014,B003,42400,15
2017/2/7,P0002,C0003,B002,33800,9
2017/2/9,P0015,C0009,B004,700,4
2017/2/10,P0016,C0012,B003,28000,2
2017/2/11,P0013,C0030,B003,44000,15
2017/2/11,P0003,C0025,B002,22300,3
2017/2/11,P0027,C0021,B003,44400,15
2017/2/14,P0034,C0008,B004,38500,8
2017/2/15,P0029,C0020,B005,14700,9
2017/2/16,P0030,C0022,B001,35200,10
2017/2/17,P0013,C0016,B005,37100,9
2017/2/18,P0027,C0026,B004,43200,8
2017/2/19,P0015,C0019,B001,700,12
2017/2/20,P0026,C0003,B004,59100,20
2017/2/22,P0006,C0001,B003,41100,6
2017/2/24,P0014,C0009,B002,18100,7
2017/2/24,P0018,C0007,B001,55700,16
2017/2/25,P0022,C0016,B003,34500,19
2017/2/25,P0024,C0023,B003,32400,8
2017/2/26,P0031,C0022,B005,22500,8
2017/2/27,P0015,C0006,B004,600,9
2017/2/28,P0029,C0022,B002,15500,8
2017/3/2,P0013,C0012,B005,41700,17
2017/3/2,P0005,C0009,B003,1000,10
2017/3/2,P0003,C0022,B003,27800,11
2017/3/4,P0002,C0020,B005,47300,5
2017/3/5,P0031,C0004,B002,18500,9
2017/3/5,P0026,C0007,B004,60100,9
2017/3/6,P0014,C0012,B002,16800,5
2017/3/8,P0036,C0011,B002,23500,8
2017/3/9,P0004,C0015,B003,23900,9
2017/3/10,P0004,C0016,B003,22600,18
2017/3/11,P0023,C0017,B005,19600,3
2017/3/11,P0033,C0014,B002,7500,15
2017/3/11,P0029,C0010,B005,13800,4
2017/3/12,P0026,C0029,B002,49200,2
2017/3/12,P0024,C0008,B003,41100,8
2017/3/13,P0016,C0025,B004,21900,7
2017/3/15,P0033,C0006,B003,9500,6
2017/3/15,P0018,C0005,B004,54200,1
2017/3/16,P0015,C0024,B002,600,20
2017/3/16,P0024,C0014,B005,40700,3
2017/3/17,P0013,C0030,B004,39400,11
2017/3/19,P0034,C0001,B002,50900,11
2017/3/22,P0022,C0005,B004,35700,9
2017/3/24,P0022,C0024,B002,29700,15
2017/3/24,P0032,C0015,B003,20200,9
2017/3/25,P0029,C0016,B003,16400,11
2017/3/27,P0009,C0001,B003,18000,10
2017/3/29,P0011,C0030,B005,42100,15
2017/3/30,P0003,C0025,B005,28800,18
2017/3/30,P0014,C0002,B005,21700,2
2017/3/31,P0001,C0028,B003,8000,3
2017/4/1,P0022,C0023,B005,27700,14
2017/4/2,P0032,C0027,B004,18500,19
2017/4/2,P0024,C0019,B003,39300,8
2017/4/2,P0003,C0020,B001,29000,11
2017/4/6,P0026,C0001,B001,51100,20
2017/4/6,P0026,C0015,B002,45900,18
2017/4/7,P0006,C0013,B004,41400,19
2017/4/8,P0006,C0029,B004,39400,3
2017/4/8,P0003,C0007,B001,32200,18
2017/4/10,P0009,C0012,B003,18000,15
2017/4/10,P0032,C0015,B003,15300,2
2017/4/10,P0005,C0003,B001,800,8
2017/4/10,P0023,C0022,B002,23700,3
2017/4/11,P0029,C0025,B001,17300,10
2017/4/14,P0006,C0013,B005,29300,8
2017/4/15,P0014,C0029,B002,15600,15
2017/4/15,P0018,C0018,B002,49300,7
2017/4/18,P0004,C0026,B003,18400,7
2017/4/18,P0002,C0009,B004,47300,13
2017/4/19,P0029,C0015,B002,19200,20
2017/4/20,P0005,C0019,B005,700,13
2017/4/22,P0015,C0016,B003,600,11
2017/4/22,P0006,C0008,B004,40400,15
2017/4/24,P0024,C0004,B002,43200,1
2017/4/25,P0035,C0003,B003,44300,20
2017/4/26,P0006,C0024,B005,39400,17
2017/4/27,P0007,C0004,B003,47700,10
2017/4/27,P0031,C0021,B002,23400,9
2017/4/27,P0003,C0018,B001,24100,13
2017/4/28,P0026,C0019,B004,43500,11
2017/4/29,P0015,C0013,B003,600,9
2017/4/29,P0004,C0028,B005,19100,2
2017/4/29,P0004,C0029,B002,20400,8
2017/5/2,P0005,C0019,B004,900,6
2017/5/3,P0034,C0029,B003,42500,6
2017/5/4,P0033,C0011,B003,9300,12
2017/5/6,P0028,C0003,B005,22000,2
2017/5/7,P0001,C0020,B004,6700,11
2017/5/7,P0028,C0014,B003,22200,20
2017/5/7,P0022,C0025,B004,31400,9
2017/5/7,P0013,C0002,B003,44000,19
2017/5/8,P0006,C0029,B003,39100,2
2017/5/9,P0005,C0019,B004,900,14
2017/5/9,P0015,C0015,B004,800,3
2017/5/9,P0028,C0004,B004,19700,15
2017/5/10,P0008,C0008,B005,27200,12
2017/5/11,P0003,C0022,B004,28500,17
2017/5/12,P0009,C0012,B003,17700,14
2017/5/12,P0014,C0011,B003,20500,13
2017/5/12,P0005,C0018,B002,800,5
2017/5/12,P0014,C0015,B003,18600,15
2017/5/13,P0013,C0023,B003,36400,16
2017/5/13,P0034,C0011,B004,52100,1
2017/5/16,P0014,C0001,B003,19000,14
2017/5/16,P0014,C0019,B002,20900,3
2017/5/16,P0011,C0027,B003,42100,14
2017/5/16,P0014,C0021,B003,15600,1
2017/5/17,P0004,C0015,B005,22600,18
2017/5/17,P0001,C0002,B004,8100,14
2017/5/17,P0015,C0013,B004,800,10
2017/5/19,P0022,C0014,B004,27200,1
2017/5/20,P0013,C0030,B003,36000,17
2017/5/24,P0026,C0009,B004,45900,15
2017/5/26,P0020,C0026,B001,31700,1
2017/5/26,P0020,C0025,B003,34700,19
2017/5/26,P0020,C0021,B005,29900,15
2017/5/26,P0020,C0012,B004,27500,18
2017/5/26,P0020,C0021,B005,34100,1
2017/5/26,P0020,C0014,B004,33800,16
2017/5/26,P0020,C0019,B004,32300,4
2017/5/26,P0020,C0010,B003,35600,1
2017/5/26,P0020,C0025,B001,34100,20
2017/5/26,P0020,C0010,B001,28100,3
2017/5/26,P0020,C0024,B002,32900,20
2017/5/26,P0020,C0013,B002,32000,2
2017/5/26,P0020,C0017,B005,32300,2
2017/5/26,P0020,C0023,B005,27500,7
2017/5/26,P0020,C0015,B005,35000,1
2017/5/26,P0031,C0009,B002,20100,11
2017/5/28,P0004,C0013,B003,22800,2
2017/5/29,P0001,C0023,B002,7200,16
2017/5/30,P0026,C0023,B005,42600,11
2017/5/30,P0029,C0007,B001,18000,10
2017/5/30,P0006,C0005,B005,39100,18
2017/5/31,P0036,C0027,B002,21100,8
2017/5/31,P0001,C0028,B003,6800,11
2017/6/1,P0018,C0015,B002,59200,12
2017/6/3,P0013,C0021,B005,47400,12
2017/6/7,P0006,C0006,B005,36800,2
2017/6/8,P0034,C0019,B002,41300,14
2017/6/9,P0005,C0013,B005,900,20
2017/6/10,P0014,C0017,B005,20500,10
2017/6/10,P0031,C0024,B002,19800,15
2017/6/13,P0027,C0021,B005,51100,19
2017/6/15,P0011,C0010,B005,49700,6
2017/6/16,P0014,C0020,B004,15900,2
2017/6/16,P0012,C0003,B005,20500,3
2017/6/20,P0003,C0028,B004,23600,11
2017/6/20,P0015,C0024,B005,800,16
2017/6/21,P0005,C0017,B004,800,4
2017/6/22,P0013,C0007,B004,40200,8
2017/6/22,P0017,C0006,B002,49400,9
2017/6/24,P0030,C0004,B004,44300,5
2017/6/25,P0014,C0023,B005,16400,10
2017/6/26,P0006,C0024,B004,33600,1
2017/6/27,P0007,C0016,B003,57700,7
2017/6/30,P0006,C0025,B002,40400,20
2017/7/3,P0005,C0005,B004,800,20
2017/7/3,P0032,C0021,B001,20000,16
2017/7/3,P0023,C0024,B003,26200,5
2017/7/5,P0001,C0002,B003,8700,18
2017/7/6,P0018,C0001,B005,57700,4
2017/7/8,P0014,C0018,B003,17400,4
2017/7/8,P0024,C0012,B003,38600,18
2017/7/8,P0013,C0012,B004,45500,16
2017/7/8,P0017,C0014,B001,49400,20
2017/7/11,P0026,C0029,B003,42600,1
2017/7/11,P0033,C0001,B003,8400,16
2017/7/11,P0029,C0015,B003,19200,12
2017/7/12,P0015,C0016,B004,800,20
2017/7/14,P0020,C0008,B004,35600,19
2017/7/15,P0013,C0019,B001,37900,13
2017/7/15,P0005,C0021,B005,900,4
2017/7/15,P0020,C0024,B003,34700,9
2017/7/16,P0003,C0005,B005,30800,16
2017/7/16,P0032,C0021,B002,18700,11
2017/7/18,P0003,C0023,B002,27000,10
2017/7/19,P0015,C0015,B002,700,6
2017/7/21,P0009,C0001,B004,24000,20
2017/7/21,P0032,C0019,B003,16600,8
2017/7/22,P0006,C0009,B002,40100,4
2017/7/25,P0032,C0001,B003,20500,4
2017/7/25,P0026,C0015,B004,50100,2
2017/7/26,P0035,C0001,B004,33300,18
2017/7/28,P0002,C0006,B003,43100,15
2017/7/30,P0001,C0027,B004,7200,7
2017/7/31,P0004,C0020,B001,20800,12
2017/7/31,P0024,C0018,B004,35500,18
2017/8/1,P0006,C0017,B002,32900,20
2017/8/1,P0009,C0004,B003,18200,17
2017/8/5,P0015,C0013,B002,600,6
2017/8/6,P0007,C0017,B004,63600,13
2017/8/8,P0008,C0012,B001,25400,4
2017/8/9,P0014,C0021,B002,20900,20
2017/8/9,P0012,C0014,B002,21300,15
2017/8/9,P0003,C0018,B005,31500,16
2017/8/9,P0018,C0015,B005,50300,5
2017/8/9,P0026,C0001,B002,44900,1
2017/8/9,P0013,C0028,B002,49300,7
2017/8/10,P0007,C0015,B002,48200,16
2017/8/12,P0029,C0011,B005,14400,14
2017/8/13,P0007,C0023,B001,55200,9
2017/8/14,P0033,C0023,B003,9900,1
2017/8/14,P0003,C0016,B004,29800,15
2017/8/14,P0024,C0023,B003,40700,3
2017/8/16,P0014,C0016,B003,19000,4
2017/8/16,P0026,C0027,B005,48700,3
2017/8/16,P0026,C0017,B003,55800,18
2017/8/20,P0009,C0023,B002,22300,5
2017/8/21,P0033,C0029,B005,9300,6
2017/8/21,P0033,C0017,B004,10100,2
2017/8/25,P0008,C0015,B003,23600,16
2017/8/25,P0002,C0024,B003,33800,17
2017/8/26,P0016,C0004,B003,28300,13
2017/8/26,P0015,C0009,B002,600,11
2017/8/27,P0034,C0002,B003,49700,16
2017/8/30,P0026,C0021,B003,60100,10
2017/8/31,P0001,C0007,B001,6100,5
2017/9/3,P0033,C0022,B004,8300,1
2017/9/3,P0013,C0026,B005,49300,3
2017/9/3,P0018,C0003,B002,59200,12
2017/9/3,P0032,C0010,B002,20500,14
2017/9/5,P0015,C0029,B003,700,18
2017/9/5,P0030,C0007,B003,38400,5
2017/9/11,P0022,C0004,B002,36200,15
2017/9/14,P0032,C0022,B003,14800,5
2017/9/15,P0008,C0004,B003,29800,9
2017/9/17,P0018,C0012,B002,58200,8
2017/9/17,P0026,C0014,B002,58200,4
2017/9/17,P0032,C0027,B003,18000,15
2017/9/19,P0001,C0019,B003,6900,1
2017/9/22,P0024,C0013,B002,36200,2
2017/9/24,P0036,C0023,B001,17700,9
2017/9/24,P0001,C0008,B003,6600,20
2017/9/25,P0010,C0024,B001,6800,14
2017/9/30,P0018,C0002,B004,64100,1
2017/9/30,P0015,C0023,B003,700,15
2017/10/1,P0013,C0028,B001,44300,18
2017/10/1,P0020,C0005,B004,29300,1
2017/10/3,P0006,C0014,B004,41100,9
2017/10/3,P0013,C0009,B003,41700,13
2017/10/5,P0004,C0029,B001,22400,12
2017/10/5,P0029,C0016,B002,18500,7
2017/10/6,P0014,C0025,B004,21500,15
2017/10/8,P0020,C0019,B001,37100,13
2017/10/8,P0012,C0019,B003,17700,13
2017/10/8,P0023,C0023,B003,27000,8
2017/10/8,P0001,C0008,B004,8400,14
2017/10/16,P0031,C0014,B003,20700,17
2017/10/17,P0001,C0025,B004,7700,7
2017/10/19,P0014,C0021,B001,19000,16
2017/10/19,P0014,C0001,B002,16400,4
2017/10/20,P0029,C0022,B003,14300,13
2017/10/22,P0004,C0016,B001,21500,12
2017/10/23,P0018,C0002,B003,61100,9
2017/10/24,P0001,C0011,B003,8700,11
2017/10/24,P0004,C0027,B004,21900,20
2017/10/25,P0034,C0024,B004,37700,6
2017/10/25,P0029,C0004,B003,17400,8
2017/10/25,P0032,C0002,B001,21200,14
2017/10/26,P0020,C0011,B003,33500,5
2017/10/26,P0028,C0027,B003,18300,17
2017/10/27,P0020,C0014,B001,36800,13
2017/10/27,P0001,C0001,B004,6700,12
2017/10/29,P0020,C0017,B004,31400,16
2017/11/1,P0009,C0012,B003,23400,5
2017/11/3,P0014,C0023,B004,18000,18
2017/11/6,P0018,C0005,B004,63600,6
2017/11/6,P0018,C0027,B003,60100,16
2017/11/6,P0001,C0019,B004,6700,7
2017/11/7,P0003,C0011,B002,25300,4
2017/11/9,P0009,C0012,B005,17700,2
2017/11/11,P0005,C0001,B004,1000,16
2017/11/12,P0012,C0007,B004,19300,1
2017/11/14,P0009,C0028,B003,18800,11
2017/11/14,P0029,C0002,B004,16700,16
2017/11/14,P0006,C0016,B001,35200,4
2017/11/14,P0033,C0021,B003,8900,15
2017/11/15,P0004,C0006,B002,23900,12
2017/11/15,P0014,C0025,B004,21200,7
2017/11/20,P0026,C0029,B001,45400,5
2017/11/21,P0028,C0003,B003,22700,1
2017/11/23,P0004,C0009,B002,19700,8
2017/11/23,P0012,C0010,B005,19600,10
2017/11/24,P0026,C0024,B003,46400,12
2017/11/25,P0003,C0021,B005,29800,7
2017/11/27,P0002,C0005,B003,35600,14
2017/11/27,P0004,C0020,B003,21900,5
2017/11/28,P0013,C0023,B003,42800,7
2017/11/29,P0009,C0027,B001,21300,16
2017/11/29,P0028,C0024,B004,17800,16
2017/11/29,P0032,C0002,B004,19800,13
2017/11/30,P0034,C0030,B003,52100,10
2017/11/30,P0033,C0006,B005,9800,4
2017/12/1,P0006,C0016,B003,35200,13
2017/12/2,P0029,C0027,B003,18200,1
2017/12/3,P0026,C0006,B004,57200,2
2017/12/4,P0004,C0022,B004,19900,9
2017/12/7,P0001,C0024,B004,6900,2
2017/12/9,P0034,C0002,B005,50100,9
2017/12/9,P0026,C0011,B002,49200,5
2017/12/9,P0015,C0006,B005,600,9
2017/12/9,P0009,C0007,B003,19200,8
2017/12/11,P0024,C0026,B001,37600,1
2017/12/11,P0014,C0015,B003,20000,5
2017/12/13,P0036,C0025,B002,22600,19
2017/12/13,P0009,C0002,B005,18200,1
2017/12/16,P0029,C0026,B002,17300,14
2017/12/17,P0033,C0024,B003,10000,3
2017/12/18,P0032,C0014,B003,20500,15
2017/12/19,P0007,C0006,B003,63100,11
2017/12/21,P0020,C0013,B003,36500,20
2017/12/21,P0017,C0001,B005,50200,7
2017/12/24,P0006,C0028,B003,38500,12
2017/12/25,P0014,C0004,B001,19800,11
2017/12/26,P0015,C0004,B002,700,20
2017/12/27,P0024,C0001,B004,35500,16
2017/12/27,P0020,C0014,B003,32900,9
2017/12/28,P0007,C0005,B004,56200,13
2017/12/29,P0020,C0015,B002,33800,15
2017/12/31,P0020,C0006,B004,37800,13
2017/12/31,P0015,C0020,B002,600,19
2018/1/2,P0007,C0014,B002,49700,18
2018/1/2,P0012,C0013,B002,17500,2
2018/1/2,P0020,C0003,B002,35300,2
2018/1/2,P0024,C0027,B005,44900,3
2018/1/3,P0014,C0018,B003,16600,12
2018/1/4,P0029,C0008,B001,19100,5
2018/1/6,P0003,C0007,B003,28300,18
2018/1/7,P0018,C0016,B001,58200,17
2018/1/8,P0013,C0010,B003,37500,16
2018/1/9,P0005,C0023,B003,900,4
2018/1/9,P0003,C0016,B005,28500,18
2018/1/12,P0020,C0015,B003,30800,5
2018/1/15,P0013,C0018,B003,47800,3
2018/1/15,P0034,C0011,B003,50500,8
2018/1/17,P0011,C0016,B001,52900,9
2018/1/18,P0018,C0008,B002,52800,9
2018/1/18,P0001,C0030,B002,7800,9
2018/1/19,P0003,C0018,B003,23600,13
2018/1/21,P0029,C0005,B005,13700,13
2018/1/21,P0009,C0006,B005,20500,15
2018/1/23,P0002,C0028,B003,42000,6
2018/1/23,P0013,C0021,B005,36000,6
2018/1/25,P0028,C0016,B004,19500,6
2018/1/29,P0020,C0008,B003,27500,9
2018/1/30,P0026,C0015,B005,44500,3
